08/22/16 14:55:08:153 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | StartupUtility : WARNING - Updater is NOT enabled.
08/22/16 14:55:08:153 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | Updater has never been run on the machine.
08/22/16 14:55:08:153 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | StartupUtility : Window is NOT Elapsed.
08/22/16 14:55:08:174 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | AdobeUpdaterGoCartLauncher : inside initialize.
08/22/16 14:55:08:199 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
08/22/16 14:55:08:202 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
08/22/16 14:55:09:204 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
08/22/16 14:55:09:204 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
08/22/16 14:55:09:278 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
08/22/16 14:55:09:278 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | AdobeUpdaterGoCartLauncher : inside finalize.
08/22/16 14:55:09:278 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | AdobeUpdaterGoCartLauncher : unloaded goCart library
